project_name,country,common_region,region_group,status,sector,capture_type,transport_type,storage_type,utilization_type,start_year,announced_year,capacity_tpa,capacity_mtpa,latitude,longitude,raw_status,raw_sector,source_file,status_standardized
Grandpuits DAC hub,France,Europe,Europe,Planned,DAC,Full chain,,Dedicated storage,,2030,2024,100000.0,0.1,,,Planned,DAC,IEA-CCUS-2026.xlsx,planned
Yulin  geological storage research facility and CCUS demonstration project (Shaanxi),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,CO2 T&S,Storage,,Dedicated storage,,,2023,100000.0,0.1,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
K-Line Sumitomo Japan-US study,Japan-United States,Japan-United States,Other Asia Pacific,Planned,CO2 T&S,T&S,,,,,2024,,,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
JSW Steel's Vijayanagar site,India,India,Other Asia Pacific,Planned,Industry,Capture,,,,2030,2024,100000.0,0.1,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
GE Vernova FEED studies,Saudi Arabia,Saudi Arabia,Middle East,Planned,Power and heat,Capture,,,,,2024,,,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
Carbon Iceland Nordural plant,Iceland,Iceland,Europe,Planned,Industry,CCU,,,,,2024,1000000.0,1.0,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Eramet Manganese Porsgrunn phase 2,Norway,Europe,Europe,Planned,Industry,Full chain,,Dedicated storage,,,2024,,,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
TarraCO2,Spain,Spain,Europe,Planned,CO2 T&S,T&S,,Dedicated storage,,2031,2022,2000000.0,2.0,,,Planned,CO2 T&S,IEA-CCUS-2026.xlsx,planned
CarboClearTech (Martres-Tolosane cement plant),France,Europe,Europe,Planned,Industry,Capture,,Dedicated storage,,2031,2024,700000.0,0.7,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Marcegaglia AdriatiCO2,Italy,Europe,Europe,Planned,Industry,Capture,,Dedicated storage,,2029,2024,112000.0,0.112,,,Planned,Industry,IEA-CCUS-2026.xlsx,planned
Alto ingredient Pekin campus plant (IL),United States,United States,North America,Planned,Fuel transformation,Capture,,Dedicated storage,,,2024,600000.0,0.6,,,Planned,Fuel transformation,IEA-CCUS-2026.xlsx,planned
Ammonia Houston Ship Channel (TX),United States,United States,North America,Cancelled,Fuel transformation,Capture,,Dedicated storage,,,2023,1600000.0,1.6,,,Cancelled,Fuel transformation,IEA-CCUS-2026.xlsx,cancelled_or_suspended
Carbon Dioxide Full Oxygen Combustion Enrichment and Purification Demonstration Project Qingzhou (Shandong),People's Republic of China,People's Republic of China,Other Asia Pacific,Operational,Industry,CCU,,,,2024,2022,200000.0,0.2,,,Operational,Industry,IEA-CCUS-2026.xlsx,operational
CNPC 3 million tons Songliao basin demonstration (Heilongjiang),People's Republic of China,People's Republic of China,Other Asia Pacific,Planned,Power and heat,Full chain,,,,,2023,3000000.0,3.0,,,Planned,Power and heat,IEA-CCUS-2026.xlsx,planned
